,sub,onset,offset,cat,tier
0,4,10.75,10.98,V,VCV
1,4,17.78,19.5,V,VCV
2,4,20.145,23.095,V,VCV
3,4,26.615,26.955,CV,VCV
4,4,27.89,28.39,V,VCV
5,4,32.895,33.395,VCV,VCV
6,4,33.75,33.93,V,VCV
7,4,54.455,55.135,CVCV,VCV
8,4,55.6,55.78,V,VCV
9,4,70.405,70.615,CV,VCV
10,4,74.135,74.535,VCV,VCV
11,4,75.71,75.85,V,VCV
12,4,112.815,113.085,V,VCV
13,4,117.185,117.415,CV,VCV
14,4,118.515,119.065,CV,VCV
15,4,124.74,125.05,V,VCV
16,4,143.34,143.56,V,VCV
17,4,147.825,148.435,CVCV,VCV
18,4,161.735,164.855,V,VCV
19,4,165.65,166.17,V,VCV
20,4,183.055,183.185,V,VCV
21,4,186.855,187.125,V,VCV
22,4,190.915,190.995,CV,VCV
23,4,217.92,218.13,V,VCV
24,4,228.19,228.59,V,VCV
25,4,240.955,241.145,V,VCV
26,4,245.375,245.635,CV,VCV
27,4,252.33,252.51,V,VCV
28,4,264.255,264.375,V,VCV
29,4,265.85,266.23,V,VCV
30,4,274.19,274.63,VCV,VCV
31,4,280.615,280.825,CV,VCV
32,4,283.515,283.705,CV,VCV
33,4,314.095,314.435,CV,VCV
34,4,331.66,332.05,CV,VCV
35,4,337.85,337.98,V,VCV
36,4,348.14,348.47,VCV,VCV
37,4,349.87,350.0,V,VCV
38,4,350.83,351.24,VCV,VCV
39,4,352.04,352.25,CV,VCV
40,4,353.12,353.33,V,VCV
41,4,370.23,370.37,V,VCV
42,4,387.005,387.245,CV,VCV
43,4,400.75,400.96,CV,VCV
44,4,409.58,409.73,V,VCV
45,4,411.23,411.66,VCV,VCV
46,4,412.35,412.78,V,VCV
47,4,413.7,413.88,V,VCV
48,4,429.875,430.455,V,VCV
49,4,435.87,436.53,V,VCV
50,4,437.385,438.015,V,VCV
51,4,438.565,438.915,V,VCV
52,4,439.755,440.725,V,VCV
53,4,449.265,450.045,V,VCV
54,4,450.86,451.33,VCV,VCV
55,4,455.22,455.47,V,VCV
56,4,460.92,462.14,CVCV,VCV
57,4,462.645,462.915,CV,VCV
58,4,463.335,463.485,V,VCV
59,4,484.995,485.215,V,VCV
60,4,508.03,508.32,V,VCV
61,4,509.15,509.44,V,VCV
62,4,509.73,510.08,V,VCV
63,4,519.51,520.26,CV,VCV
64,4,590.0,590.61,V,VCV
65,4,591.6,591.88,CV,VCV
66,4,593.235,593.555,CV,VCV
67,4,601.11,602.0,VCV,VCV
68,4,603.055,603.245,V,VCV
69,4,606.81,607.31,VCV,VCV
70,4,615.07,615.74,V,VCV
71,4,616.625,617.345,V,VCV
72,4,618.015,618.555,V,VCV
73,4,620.675,621.355,V,VCV
74,4,627.855,628.695,V,VCV
75,4,629.135,629.945,V,VCV
76,4,635.17,635.51,V,VCV
77,4,638.28,639.14,CVCV,VCV
78,4,639.84,641.11,CVCV,VCV
79,4,647.245,647.455,CV,VCV
80,4,651.73,652.42,V,VCV
81,4,653.195,653.975,V,VCV
82,4,657.145,657.365,V,VCV
83,4,677.48,679.23,V,VCV
84,4,680.065,680.265,CV,VCV
85,4,682.435,685.645,CVCV,VCV
86,4,686.33,686.58,CV,VCV
87,4,687.575,687.765,V,VCV
88,4,691.93,692.09,CV,VCV
89,4,694.746,695.012,CV,VCV
90,4,695.431,695.677,CV,VCV
91,4,713.203,713.391,V,VCV
92,4,721.381,721.543,V,VCV
93,4,731.474,731.845,V,VCV
94,4,739.801,739.983,CV,VCV
95,4,742.95,743.08,V,VCV
96,4,746.281,746.593,V,VCV
97,4,755.72,755.856,V,VCV
98,4,757.993,758.11,V,VCV
99,4,776.031,776.368,CV,VCV
100,4,784.874,785.166,V,VCV
101,4,791.526,792.474,CVCV,VCV
102,4,797.077,797.408,V,VCV
103,4,798.138,798.67,V,VCV
104,4,801.365,801.975,CVCV,VCV
105,4,803.02,803.215,CV,VCV
