sub,cat,lag,interrupt,inf_onset,inf_offset,cgtype,cg_onset,cg_offset,CV,month
4,V,,0.0,8.43,10.5,,,,V,Five
4,V,,0.0,35.83,38.7,,,,V,Five
4,V,,0.0,84.43,85.27,,,,V,Five
4,V,,0.0,160.11,162.74,,,,V,Five
4,V,,0.0,163.76,164.38,,,,V,Five
4,V,,0.0,179.95,180.71,,,,V,Five
4,V,,0.0,207.4,208.37,,,,V,Five
4,V,,0.0,253.96,255.81,,,,V,Five
4,V,,0.0,256.87,257.19,,,,V,Five
4,V,,0.0,270.72,271.09,,,,V,Five
4,V,,0.0,284.61,284.93,,,,V,Five
4,V,,0.0,310.48,310.67,,,,V,Five
4,V,,0.0,311.26,312.58,,,,V,Five
4,V,,0.0,370.84,373.56,,,,V,Five
4,V,,0.0,383.4,384.0,,,,V,Five
4,V,,0.0,384.76,385.41,,,,V,Five
4,V,,0.0,386.16,387.92,,,,V,Five
4,V,,0.0,463.25,463.55,,,,V,Five
4,V,,0.0,465.28,465.48,,,,V,Five
4,V,,0.0,474.55,475.34,,,,V,Five
4,V,,0.0,492.06,492.35,,,,V,Five
4,V,,0.0,501.25,501.51,,,,V,Five
4,V,,0.0,517.27,517.6,,,,V,Five
4,V,0.26272400000004836,1.0,565.5,568.12,would you like to play with this?,567.857276,569.250593,V,Five
4,V,,0.0,568.35,571.29,,,,V,Five
4,V,,0.0,575.14,576.72,,,,V,Five
4,V,,0.0,577.39,578.74,,,,V,Five
4,V,,0.0,660.02,661.36,,,,V,Five
4,V,,0.0,686.15,686.41,,,,V,Five
4,V,,0.0,689.04,689.46,,,,V,Five
4,V,,0.0,699.3,699.57,,,,V,Five
4,V,,0.0,841.68,841.97,,,,V,Five
4,V,0.3015259999999671,1.0,869.53,870.38,[imitates baby],870.078474,871.905634,V,Five
4,V,,0.0,879.69,880.02,,,,V,Five
6,V,,0.0,308.82,308.99,,,,V,Five
6,V,,0.0,542.6,543.33,,,,V,Five
6,V,,0.0,554.96,555.21,,,,V,Five
6,V,,0.0,555.98,556.21,,,,V,Five
6,V,,0.0,574.78,575.02,,,,V,Five
6,V,,0.0,590.3,590.61,,,,V,Five
6,V,,0.0,714.83,715.32,,,,V,Five
6,V,,0.0,854.19,854.44,,,,V,Five
6,V,,0.0,857.075,857.725,,,,V,Five
6,V,,0.0,917.54,917.9,,,,V,Five
6,V,,0.0,933.985,934.225,,,,V,Five
6,V,,0.0,935.145,935.305,,,,V,Five
10,V,,0.0,139.493,139.873,,,,V,Five
10,V,,0.0,298.922,299.172,,,,V,Five
10,V,,0.0,418.357,418.637,,,,V,Five
10,V,,0.0,446.122,446.382,,,,V,Five
10,V,,0.0,617.426,617.816,,,,V,Five
10,V,,0.0,626.492,626.892,,,,V,Five
10,V,,0.0,643.426,644.706,,,,V,Five
10,V,,0.0,646.872,647.052,,,,V,Five
10,V,,0.0,648.157,648.377,,,,V,Five
10,V,,0.0,649.995,650.155,,,,V,Five
10,V,0.5253760000000511,1.0,656.826,657.856,sit here?,657.330624,657.886895,V,Five
10,V,,0.0,658.402,659.242,,,,V,Five
10,V,,0.0,684.239,685.789,,,,V,Five
10,V,,0.0,686.399,687.109,,,,V,Five
10,V,,0.0,694.657,695.037,,,,V,Five
10,V,,0.0,729.383,729.793,,,,V,Five
10,V,,0.0,768.501,768.691,,,,V,Five
10,V,,0.0,776.196,776.496,,,,V,Five
10,V,,0.0,802.202,803.442,,,,V,Five
10,V,,0.0,819.05,819.7,,,,V,Five
10,V,,0.0,822.263,823.103,,,,V,Five
10,V,,0.0,823.576,823.946,,,,V,Five
10,V,,0.0,825.359,825.719,,,,V,Five
10,V,,0.0,829.888,831.098,,,,V,Five
10,V,,0.0,833.75,834.52,,,,V,Five
10,V,,0.0,834.96,835.94,,,,V,Five
10,V,,0.0,837.033,838.603,,,,V,Five
10,V,,0.0,845.221,846.051,,,,V,Five
10,V,,0.0,847.047,847.217,,,,V,Five
10,V,,0.0,856.212,857.072,,,,V,Five
10,V,,0.0,857.627,858.297,,,,V,Five
10,V,,0.0,864.947,865.787,,,,V,Five
10,V,,0.0,870.132,870.522,,,,V,Five
10,V,,0.0,888.881,890.061,,,,V,Five
10,V,,0.0,899.655,900.245,,,,V,Five
11,V,0.019996000000002567,1.0,31.23,31.96,yeah. You are going to try to eat it? ,31.940004,34.516437,V,Five
11,V,,0.0,60.01,60.46,,,,V,Five
11,V,,0.0,64.72,64.99,,,,V,Five
11,V,,0.0,79.71,80.03,,,,V,Five
11,V,,0.0,84.585,84.885,,,,V,Five
11,V,0.009801000000010163,1.0,138.36,140.16,okay,140.150199,140.590393,V,Five
11,V,,0.0,295.42,296.02,,,,V,Five
11,V,,0.0,296.33,299.37,,,,V,Five
11,V,,0.0,299.65,301.1,,,,V,Five
11,V,,0.0,365.51,366.21,,,,V,Five
11,V,,0.0,409.8,410.33,,,,V,Five
11,V,,0.0,494.82,495.11,,,,V,Five
11,V,0.8290100000000393,1.0,496.52,500.67,you like the sun,499.84099,500.656645,V,Five
11,V,,0.0,635.95,636.19,,,,V,Five
11,V,,0.0,716.56,716.92,,,,V,Five
11,V,,0.0,776.78,777.63,,,,V,Five
11,V,,0.0,851.33,855.7,,,,V,Five
11,V,,0.0,868.56,868.88,,,,V,Five
11,VCV,,0.0,870.615,873.915,,,,C,Five
11,V,,0.0,893.12,893.78,,,,V,Five
11,V,,0.0,899.54,902.86,,,,V,Five
11,V,,0.0,906.68,907.29,,,,V,Five
11,V,,0.0,917.42,917.92,,,,V,Five
11,V,,0.0,923.99,925.0,,,,V,Five
11,V,,0.0,926.25,926.93,,,,V,Five
11,V,,0.0,938.6,938.92,,,,V,Five
27,V,,0.0,37.13,37.27,,,,V,Five
