sub,cat,lag,interrupt,inf_onset,inf_offset,cgtype,cg_onset,cg_offset,month
4,V,,0.0,8.43,10.5,,,,Five
4,V,,0.0,35.83,38.7,,,,Five
4,V,,0.0,84.43,85.27,,,,Five
4,V,,0.0,160.11,162.74,,,,Five
4,V,,0.0,163.76,164.38,,,,Five
4,V,,0.0,179.95,180.71,,,,Five
4,V,3.4413140000000055,1.0,207.4,208.37,oh. You did not get it yet huh. Oh good job. Yeah you got it ,203.680666,210.841314,Five
4,V,,0.0,253.96,255.81,,,,Five
4,V,,0.0,256.87,257.19,,,,Five
4,V,,0.0,270.72,271.09,,,,Five
4,V,,0.0,284.61,284.93,,,,Five
4,V,,0.0,310.48,310.67,,,,Five
4,V,,0.0,311.26,312.58,,,,Five
4,V,8.027932000000021,1.0,370.84,373.56,do you want to look around? No you do not. Let us go over here and play with these toys. Let us go play with these toys,369.159995,378.867932,Five
4,V,,0.0,383.4,384.0,,,,Five
4,V,0.549129999999991,1.0,384.76,385.41,yeah,384.441691,385.30913,Five
4,V,,0.0,386.16,387.92,,,,Five
4,V,1.457505000000026,1.0,463.25,463.55,It's a little big for your hands huh. Oh you got it though. Good job ,460.333396,464.707505,Five
4,V,,0.0,465.28,465.48,,,,Five
4,V,,0.0,474.55,475.34,,,,Five
4,V,,0.0,492.06,492.35,,,,Five
4,V,,0.0,501.25,501.51,,,,Five
4,V,,0.0,517.27,517.6,,,,Five
4,V,0.642423000000008,1.0,565.5,568.12,are you hungry or you just a little overstimulated,563.10124,566.142423,Five
4,V,0.900592999999958,1.0,568.35,571.29,would you like to play with this?,567.857276,569.250593,Five
4,V,0.28674100000000635,1.0,575.14,576.72,oh oh! Goodness,573.175997,575.426741,Five
4,V,,0.0,577.39,578.74,,,,Five
4,V,,0.0,660.02,661.36,,,,Five
4,V,,0.0,686.15,686.41,,,,Five
4,V,1.6167800000000625,1.0,689.04,689.46,Do you want to come back over here? do you want to keep working on that one?,687.039513,690.65678,Five
4,V,13.917806000000041,1.0,699.3,699.57,oof oh you left in the whole thing huh. Uh oh. You fell over. Uh oh. Oh yeah. That is the way to get it off. Use two hands and both hands grab the purple one,697.636765,713.217806,Five
4,V,,0.0,841.68,841.97,,,,Five
4,V,,0.0,869.53,870.38,,,,Five
4,V,3.566167999999948,1.0,879.69,880.02,Can you make it rol? You made it roll. Good job,878.605218,883.256168,Five
6,V,,0.0,308.82,308.99,,,,Five
6,V,0.2932299999999941,1.0,542.6,543.33,yeah. Should we see what else is here,540.156423,542.89323,Five
6,V,0.05337699999995493,1.0,554.96,555.21,"What do you think? No, are you happy with what you have?",551.829744,555.013377,Five
6,V,,0.0,555.98,556.21,,,,Five
6,V,5.088057000000049,1.0,574.78,575.02,Hi buddy. Are you getting worn out? take a break,574.524766,579.868057,Five
6,V,,0.0,590.3,590.61,,,,Five
6,V,1.1709549999999354,1.0,714.83,715.32,do you want the ball? Here Tessa,714.269505,716.000955,Five
6,V,,0.0,854.19,854.44,,,,Five
6,V,,0.0,857.075,857.725,,,,Five
6,V,,0.0,917.54,917.9,,,,Five
6,V,0.3833999999999378,1.0,933.985,934.225,my goodness,933.62369,934.3684,Five
6,V,,0.0,935.145,935.305,,,,Five
10,V,,0.0,139.493,139.873,,,,Five
10,V,,0.0,298.922,299.172,,,,Five
10,V,,0.0,418.357,418.637,,,,Five
10,V,,0.0,446.122,446.382,,,,Five
10,V,,0.0,617.426,617.816,,,,Five
10,V,,0.0,626.492,626.892,,,,Five
10,V,,0.0,643.426,644.706,,,,Five
10,V,,0.0,646.872,647.052,,,,Five
10,V,,0.0,648.157,648.377,,,,Five
10,V,,0.0,649.995,650.155,,,,Five
10,V,,0.0,656.826,657.856,,,,Five
10,V,,0.0,658.402,659.242,,,,Five
10,V,4.061392999999953,1.0,684.239,685.789,"Where did it go? Can you get it? Can you get it? Good girl. oops, there it goes. Uh oh, uh oh, uh oh. Here, oh. There you go, there you go ",678.517284,688.300393,Five
10,V,1.9013929999999846,1.0,686.399,687.109,"Where did it go? Can you get it? Can you get it? Good girl. oops, there it goes. Uh oh, uh oh, uh oh. Here, oh. There you go, there you go ",678.517284,688.300393,Five
10,V,,0.0,694.657,695.037,,,,Five
10,V,,0.0,729.383,729.793,,,,Five
10,V,,0.0,768.501,768.691,,,,Five
10,V,,0.0,776.196,776.496,,,,Five
10,V,,0.0,802.202,803.442,,,,Five
10,V,,0.0,819.05,819.7,,,,Five
10,V,0.40096299999993334,1.0,822.263,823.103,look. Do you want this?,820.160745,822.663963,Five
10,V,,0.0,823.576,823.946,,,,Five
10,V,0.9570019999999886,1.0,825.359,825.719,Do you want this? Yeah?,824.598818,826.316002,Five
10,V,,0.0,829.888,831.098,,,,Five
10,V,0.28123500000003787,1.0,833.75,834.52,What? Do you want this?,832.773579,834.031235,Five
10,V,,0.0,834.96,835.94,,,,Five
10,V,,0.0,837.033,838.603,,,,Five
10,V,,0.0,845.221,846.051,,,,Five
10,V,,0.0,847.047,847.217,,,,Five
10,V,,0.0,856.212,857.072,,,,Five
10,V,,0.0,857.627,858.297,,,,Five
10,V,,0.0,864.947,865.787,,,,Five
10,V,,0.0,870.132,870.522,,,,Five
10,V,,0.0,888.881,890.061,,,,Five
10,V,,0.0,899.655,900.245,,,,Five
11,V,,0.0,31.23,31.96,,,,Five
11,V,,0.0,60.01,60.46,,,,Five
11,V,10.449704999999994,1.0,64.72,64.99,[laughs] [duck noises],61.433043,75.169705,Five
11,V,,0.0,79.71,80.03,,,,Five
11,V,,0.0,84.585,84.885,,,,Five
11,V,,0.0,138.36,140.16,,,,Five
11,V,,0.0,295.42,296.02,,,,Five
11,V,,0.0,296.33,299.37,,,,Five
11,V,,0.0,299.65,301.1,,,,Five
11,V,,0.0,365.51,366.21,,,,Five
11,V,,0.0,409.8,410.33,,,,Five
11,V,0.3342119999999795,1.0,494.82,495.11,"that is a nice sack. That is my sack, here.",491.878646,495.154212,Five
11,V,,0.0,496.52,500.67,,,,Five
11,V,1.8272690000000011,1.0,635.95,636.19,put that back on? Okay. Here it is,634.022667,637.777269,Five
11,V,,0.0,716.56,716.92,,,,Five
11,V,1.8466000000000804,1.0,776.78,777.63,"hi. Is that a box? [unintelligilbe] Some animals on it. I see Elmo. Do you know who Elmo is? I do not think you do. Not yet.Big bird, cookie monster, grover, Zoe, Ernie",764.359115,778.6266,Five
11,V,0.5815519999999879,1.0,851.33,855.7,I have a bagel too. Peak-a-peak. Do you wanna see my glasses? Hi! I have silly glasses. Do you want silly glasses? Here you go,840.576513,851.911552,Five
11,V,,0.0,868.56,868.88,,,,Five
11,VCV,0.19259199999999055,1.0,870.615,873.915,who is that?,870.122578,870.807592,Five
11,V,1.1977809999999636,1.0,893.12,893.78,another hat. Should I have a hat too?,892.211041,894.317781,Five
11,V,,0.0,899.54,902.86,,,,Five
11,V,,0.0,906.68,907.29,,,,Five
11,V,,0.0,917.42,917.92,,,,Five
11,V,2.122759999999971,1.0,923.99,925.0,you see lots of different thingd,923.437329,926.11276,Five
11,V,,0.0,926.25,926.93,,,,Five
11,V,,0.0,938.6,938.92,,,,Five
27,V,,0.0,37.13,37.27,,,,Five
27,V,,0.0,38.13,38.32,,,,Five
27,V,,0.0,60.64,62.08,,,,Five
27,V,,0.0,68.8,69.77,,,,Five
27,V,,0.0,114.022,114.422,,,,Five
27,V,,0.0,116.85,117.19,,,,Five
27,V,,0.0,123.66,124.09,,,,Five
27,V,,0.0,126.39,126.77,,,,Five
27,V,,0.0,127.4,127.68,,,,Five
27,V,1.643511000000018,1.0,130.17,130.52,"What? Reach! Reach, reach, reach. Get it",128.015966,131.813511,Five
27,V,,0.0,192.59,193.15,,,,Five
27,V,,0.0,307.13,307.5,,,,Five
27,V,,0.0,350.142,350.612,,,,Five
27,V,,0.0,356.41,356.86,,,,Five
27,V,0.12752999999997883,1.0,361.569,362.179,Did you get that purple circle? With the red polka dots,358.581579,361.69653,Five
27,V,,0.0,370.38,370.56,,,,Five
27,V,,0.0,375.05,375.33,,,,Five
27,V,,0.0,376.105,377.795,,,,Five
27,V,,0.0,382.941,383.161,,,,Five
27,V,,0.0,383.785,383.9,,,,Five
27,V,,0.0,389.45,390.22,,,,Five
27,V,,0.0,423.225,423.665,,,,Five
27,V,,0.0,428.0,428.19,,,,Five
27,V,0.6565349999999626,1.0,442.403,442.673,Ooh that one is a good crunchy noisy one,440.825946,443.059535,Five
27,V,,0.0,448.474,448.684,,,,Five
27,V,,0.0,462.79,463.83,,,,Five
27,V,,0.0,465.448,465.638,,,,Five
27,V,,0.0,581.099,581.359,,,,Five
27,V,,0.0,591.29,591.63,,,,Five
27,V,,0.0,626.55,627.13,,,,Five
27,V,,0.0,627.71,627.89,,,,Five
27,V,,0.0,628.7,629.91,,,,Five
27,V,,0.0,653.62,654.19,,,,Five
27,V,3.1621410000000196,1.0,660.25,660.44,"Do you want to play [unintellligible] Oh, are we going to start spitting? Is it time to spit?",658.691421,663.412141,Five
27,V,,0.0,692.67,693.24,,,,Five
27,V,,0.0,695.25,695.61,,,,Five
27,V,,0.0,701.53,701.89,,,,Five
