sub,month,total,interrupt,proportion,duration
4,5,34,2,0.058823529411764705,0.28212500000000773
6,5,12,0,0.0,
10,5,35,1,0.02857142857142857,0.5253760000000511
11,5,26,3,0.11538461538461539,0.28626900000001737
27,5,49,4,0.08163265306122448,0.4248124999999696
28,5,8,0,0.0,
43,5,29,0,0.0,
47,5,11,0,0.0,
48,5,6,0,0.0,
53,5,24,2,0.08333333333333333,1.0453544999999735
59,5,24,5,0.20833333333333334,0.5560105999999905
64,5,29,1,0.034482758620689655,0.32630600000004506
71,5,120,5,0.041666666666666664,0.34778320000002055
72,5,17,0,0.0,
74,5,20,1,0.05,0.3955139999999915
75,5,23,1,0.043478260869565216,0.11266200000000026
76,5,16,0,0.0,
85,5,12,0,0.0,
87,5,113,5,0.04424778761061947,0.49956580000000483
91,5,34,2,0.058823529411764705,0.9638245000000154
94,5,43,3,0.06976744186046512,1.98580800000002
96,5,45,1,0.022222222222222223,0.3266609999999446
97,5,11,2,0.18181818181818182,0.6276645000000372
99,5,57,4,0.07017543859649122,0.7851487500000189
101,5,76,4,0.05263157894736842,0.08016350000001182
105,5,38,2,0.05263157894736842,3.503336499999989
106,5,50,6,0.12,0.6548301666666797
113,5,74,8,0.10810810810810811,2.633570749999998
115,5,19,0,0.0,
118,5,108,3,0.027777777777777776,0.45366166666667596
4,10,205,4,0.01951219512195122,0.28413075000000276
6,10,183,3,0.01639344262295082,0.5871966666666898
10,10,84,1,0.011904761904761904,0.32744800000000396
11,10,126,15,0.11904761904761904,0.6811758666666586
27,10,63,3,0.047619047619047616,0.0730989999999944
28,10,147,7,0.047619047619047616,0.7745685714285254
43,10,75,0,0.0,
47,10,119,2,0.01680672268907563,1.8346864999999752
48,10,97,0,0.0,
53,10,90,18,0.2,0.6100687222222203
59,10,90,5,0.05555555555555555,1.0893951999999671
64,10,98,1,0.01020408163265306,0.6509320000000116
71,10,199,11,0.05527638190954774,0.20516981818182567
72,10,97,3,0.030927835051546393,0.3263866666666975
74,10,97,4,0.041237113402061855,0.2797400000000039
75,10,30,4,0.13333333333333333,0.4492525000000285
76,10,42,2,0.047619047619047616,0.22148399999991852
85,10,80,3,0.0375,0.13966500000003634
87,10,44,0,0.0,
91,10,47,0,0.0,
94,10,62,3,0.04838709677419355,0.24959533333333184
96,10,77,7,0.09090909090909091,0.17824042857141972
97,10,25,0,0.0,
99,10,57,4,0.07017543859649122,0.7998592499999688
101,10,55,5,0.09090909090909091,0.3320379999999886
105,10,75,2,0.02666666666666667,0.2736810000000105
106,10,173,3,0.017341040462427744,0.578171999999995
113,10,80,6,0.075,0.7064901666666591
115,10,34,1,0.029411764705882353,0.276279000000045
118,10,27,0,0.0,
