sub,month,total,interrupt,proportion,dur_total,dur_mean
4,5,34,10,0.29411764705882354,7.388887000000096,0.7388887000000096
6,5,12,5,0.4166666666666667,1.3166069999999763,0.26332139999999526
10,5,35,5,0.14285714285714285,3.3021979999999758,0.6604395999999951
11,5,26,8,0.3076923076923077,4.094143999999986,0.5117679999999982
27,5,49,5,0.10204081632653061,1.134787000000074,0.2269574000000148
28,5,8,1,0.125,0.5180000000000291,0.5180000000000291
43,5,29,5,0.1724137931034483,2.0330230000000142,0.40660460000000287
47,5,11,4,0.36363636363636365,3.6095149999999876,0.9023787499999969
48,5,6,3,0.5,1.0599999999999454,0.3533333333333151
53,5,24,8,0.3333333333333333,5.739999999999952,0.717499999999994
59,5,24,5,0.20833333333333334,1.6374179999999683,0.32748359999999366
64,5,29,3,0.10344827586206896,0.9703210000001263,0.32344033333337546
71,5,120,62,0.5166666666666667,36.93300699999993,0.5956936612903215
72,5,17,3,0.17647058823529413,1.205412000000024,0.401804000000008
74,5,20,1,0.05,0.26000000000004775,0.26000000000004775
75,5,23,10,0.43478260869565216,3.5692759999999737,0.35692759999999735
85,5,12,1,0.08333333333333333,0.29999999999998295,0.29999999999998295
87,5,113,35,0.30973451327433627,24.917795999999896,0.7119370285714256
94,5,43,4,0.09302325581395349,2.928859999999986,0.7322149999999965
96,5,45,20,0.4444444444444444,24.030000000000115,1.2015000000000058
97,5,11,3,0.2727272727272727,0.6746550000000013,0.22488500000000045
99,5,57,15,0.2631578947368421,8.885554999999812,0.5923703333333208
101,5,76,30,0.39473684210526316,14.312349000000296,0.4770783000000099
105,5,37,7,0.1891891891891892,6.744515999999955,0.9635022857142792
106,5,50,21,0.42,14.091912999999977,0.6710434761904751
113,5,74,20,0.2702702702702703,16.04375199999987,0.8021875999999935
118,5,108,35,0.32407407407407407,12.643995000000043,0.3612570000000012
4,10,205,4,0.01951219512195122,0.9960000000000946,0.24900000000002365
6,10,183,37,0.20218579234972678,21.89320499999974,0.5917082432432362
10,10,84,3,0.03571428571428571,0.710442000000171,0.236814000000057
11,10,126,8,0.06349206349206349,3.001175999999532,0.3751469999999415
27,10,63,24,0.38095238095238093,10.717843999999559,0.44657683333331494
28,10,147,2,0.013605442176870748,1.099999999999909,0.5499999999999545
43,10,75,17,0.22666666666666666,4.27292300000056,0.2513484117647388
47,10,119,10,0.08403361344537816,3.831649999999968,0.38316499999999676
48,10,97,22,0.2268041237113402,8.913004,0.40513654545454547
53,10,90,11,0.12222222222222222,5.997586999999726,0.5452351818181569
59,10,90,15,0.16666666666666666,4.536661999999751,0.3024441333333167
64,10,98,7,0.07142857142857142,3.7789999999999964,0.5398571428571424
71,10,199,16,0.08040201005025126,6.702000000000453,0.4188750000000283
72,10,97,1,0.010309278350515464,0.5364260000001195,0.5364260000001195
74,10,97,9,0.09278350515463918,3.508453999999915,0.3898282222222128
75,10,30,5,0.16666666666666666,4.224999999999909,0.8449999999999818
85,10,80,5,0.0625,3.9263209999999162,0.7852641999999832
87,10,44,4,0.09090909090909091,2.6800000000001774,0.6700000000000443
94,10,62,3,0.04838709677419355,1.0299999999999727,0.3433333333333242
96,10,77,5,0.06493506493506493,1.0929389999998875,0.21858779999997752
97,10,25,1,0.04,0.2999999999999545,0.2999999999999545
99,10,57,14,0.24561403508771928,9.480046999999786,0.677146214285699
101,10,55,5,0.09090909090909091,4.041282000000251,0.8082564000000503
105,10,75,5,0.06666666666666667,2.103825000000029,0.4207650000000058
106,10,173,16,0.09248554913294797,5.550346999999647,0.34689668749997793
113,10,80,14,0.175,7.640076000000249,0.5457197142857321
118,10,27,4,0.14814814814814814,1.759999999999991,0.4399999999999977
