sub,month,total,interrupt,proportion,dur_total,dur_mean
4,5,34,11,0.3235294117647059,31.339769000000075,2.849069909090916
6,5,12,5,0.4166666666666667,8.700872000000118,1.7401744000000234
10,5,35,6,0.17142857142857143,22.197665999999913,3.6996109999999853
11,5,26,11,0.4230769230769231,45.13287500000021,4.102988636363656
27,5,49,9,0.1836734693877551,12.071046999999979,1.341227444444442
28,5,8,1,0.125,0.6558549999999741,0.6558549999999741
43,5,29,5,0.1724137931034483,10.083160000000106,2.0166320000000213
47,5,11,4,0.36363636363636365,17.654508999999933,4.413627249999983
48,5,6,3,0.5,17.27066999999994,5.75688999999998
53,5,24,10,0.4166666666666667,28.783624999999915,2.8783624999999917
59,5,24,9,0.375,15.262765000000115,1.6958627777777906
64,5,29,4,0.13793103448275862,8.861568000000034,2.2153920000000085
71,5,120,67,0.5583333333333333,236.61129799999998,3.531511910447761
72,5,17,3,0.17647058823529413,12.38554699999986,4.12851566666662
74,5,20,2,0.1,4.23510200000004,2.11755100000002
75,5,23,11,0.4782608695652174,35.190913000000364,3.199173909090942
85,5,12,1,0.08333333333333333,7.163776999999982,7.163776999999982
87,5,113,40,0.35398230088495575,192.19361200000017,4.804840300000004
94,5,43,7,0.16279069767441862,21.887110000000092,3.126730000000013
96,5,45,21,0.4666666666666667,103.72542499999932,4.93930595238092
97,5,11,5,0.45454545454545453,11.497081000000136,2.299416200000027
99,5,57,19,0.3333333333333333,30.217192999999952,1.590378578947366
101,5,76,34,0.4473684210526316,152.78252400000042,4.493603647058836
105,5,37,9,0.24324324324324326,19.87502300000005,2.2083358888888944
106,5,50,27,0.54,167.80531700000012,6.215011740740745
113,5,74,27,0.36486486486486486,90.25713200000024,3.3428567407407495
118,5,108,38,0.35185185185185186,140.37905300000017,3.6941856052631623
4,10,205,6,0.02926829268292683,10.470837000000074,1.7451395000000123
6,10,183,40,0.2185792349726776,266.82144600000095,6.670536150000023
10,10,84,4,0.047619047619047616,13.45888100000002,3.364720250000005
11,10,126,13,0.10317460317460317,27.411045999999715,2.108541999999978
27,10,63,27,0.42857142857142855,138.88237599999968,5.143791703703692
28,10,147,2,0.013605442176870748,4.0693899999999985,2.0346949999999993
43,10,75,17,0.22666666666666666,131.38304900000003,7.728414647058825
47,10,119,12,0.10084033613445378,92.69202200000018,7.724335166666681
48,10,97,22,0.2268041237113402,157.81873900000016,7.173579045454553
53,10,90,21,0.23333333333333334,36.99808399999995,1.7618135238095214
59,10,90,19,0.2111111111111111,32.103138999999715,1.689638894736827
64,10,98,8,0.08163265306122448,17.03372800000011,2.1292160000000138
71,10,199,16,0.08040201005025126,66.01694200000065,4.126058875000041
72,10,97,1,0.010309278350515464,2.5347620000000006,2.5347620000000006
74,10,97,10,0.10309278350515463,11.637700999999879,1.1637700999999878
75,10,30,9,0.3,12.794967999999926,1.4216631111111029
85,10,80,7,0.0875,25.295715000000087,3.613673571428584
87,10,44,4,0.09090909090909091,26.428162000000043,6.607040500000011
94,10,62,5,0.08064516129032258,3.843020000000024,0.7686040000000048
96,10,77,11,0.14285714285714285,17.61848099999986,1.6016800909090783
97,10,25,1,0.04,6.320483999999965,6.320483999999965
99,10,57,18,0.3157894736842105,79.23417899999993,4.4018988333333295
101,10,55,8,0.14545454545454545,10.966082000000142,1.3707602500000178
105,10,75,7,0.09333333333333334,13.857192000000168,1.979598857142881
106,10,173,17,0.09826589595375723,34.29470299999991,2.0173354705882303
113,10,80,16,0.2,30.346085000000244,1.8966303125000152
118,10,27,4,0.14814814814814814,8.018185000000358,2.0045462500000895
