onset,offset,transcript,sub,tier
1.924309,2.386883,(voc),4,CG
2.978978,4.015144,ooooh,4,CG
4.958795,5.291849,(voc),4,CG
6.087476,8.1043,[imitates baby],4,CG
7.956276,10.47268,(voc),4,CG
11.416331,12.674533,[imitates baby],4,CG
25.682119,28.920138,where did it go? it went away. Do you want it?,4,CG
31.084985,32.805761,yeah you do want it,4,CG
34.693064,39.244794,(voc),4,CG
39.559344,40.836049,yeah,4,CG
41.021079,60.930272,"[mom's microphone was off, experiment in room to turn it on] ",4,CG
61.651888,69.848702,"uh oh, uh oh. Do you want that still? Do you want it? We can walk over and get it",4,CG
72.272591,76.102705,yes! good job! you got it,4,CG
73.345763,73.604805,(voc),4,CG
81.376051,81.653595,(other),4,CG
83.281857,83.503892,(other),4,CG
84.429041,85.206165,(voc),4,CG
85.816763,88.037119,yeah? do you still want that?,4,CG
90.294481,92.21879,yeah you do want it,4,CG
99.749498,102.654463,uh oh. uh oh,4,CG
107.668768,110.05565,what do you want now? You've got choices here,4,CG
117.678873,119.307134,ooh a block,4,CG
122.138088,124.39545,ooh it makes noises,4,CG
136.163338,136.73693,you dropped it,4,CG
138.809262,140.548541,you've got lots of others to choose from,4,CG
142.694885,146.765538,what do you want? ooh that one has a bell inside,4,CG
146.987574,147.801704,(voc),4,CG
148.782361,149.596492,[imitates baby],4,CG
160.050669,162.659587,(voc),4,CG
163.436712,163.584735,[kiss],4,CG
163.695753,164.491381,(voc),4,CG
164.768925,169.727721,It is fun to play with new toys. Not the same old boring stuff you have at home,4,CG
176.092741,176.906872,do not hurt yourself,4,CG
182.38375,183.327402,oh my,4,CG
184.548597,186.047338,[unintelligible],4,CG
186.879971,195.187804,that is pretty neat huh? That is pretty neat. There is still one block you have not explored yet huh,4,CG
198.832888,200.535161,oh! did you drop that one already?,4,CG
203.680666,210.841314,oh. You did not get it yet huh. Oh good job. Yeah you got it ,4,CG
207.418265,208.417425,(voc),4,CG
217.668909,222.183633,"do you want it back? do you like the noise that it makes? No, not so much",4,CG
226.957399,228.215601,all right,4,CG
236.745469,240.483068,uh oh. uh oh ,4,CG
251.140777,253.083589,"you are getting so good, bending over",4,CG
253.953228,258.301426,(other),4,CG
261.298906,262.557108,"hello, is that for me ",4,CG
270.73542,271.179491,(voc),4,CG
271.438533,273.862421,oh what is the matter huh? what is the matter?,4,CG
277.15595,280.245945,ooh that's got a different sound doesn't it ,4,CG
287.906174,289.515932,"oh, you got it, good job",4,CG
290.367068,290.700122,(voc),4,CG
292.271657,294.837062,uh oh. Where did it go,4,CG
298.269907,302.699384,can you get t with two hands maybe? oh nice job,4,CG
300.927593,303.1977,(other),4,CG
304.268157,307.091949,huh you dropped it. How are you playing this game?,4,CG
308.549985,310.266407,the bending over and picking up game ,4,CG
311.226127,312.31504,(voc),4,CG
312.7949,313.99455,[imitates baby],4,CG
316.172376,317.298202,[imitates baby],4,CG
322.15217,328.519544,ooh. do you want to look there? Do you want to look in the mirror? oh no you want a block ,4,CG
336.972462,337.101655,[kiss],4,CG
337.987551,338.209025,(other),4,CG
339.648605,350.740753,"did you drop it again? did you get it? No, you did not get it yet? You can do it! But you do not have to if you do not want to. There is lots of toys here      ",4,CG
352.143421,366.133186,Would you like to look in the mirror? Ready? Who is that down there? Who is that? Is that you? Did you see yourself in the mirror? Do you see your self in the mirror?,4,CG
369.159995,378.867932,do you want to look around? No you do not. Let us go over here and play with these toys. Let us go play with these toys,4,CG
370.784137,373.31263,(voc),4,CG
383.38969,384.017199,(voc),4,CG
384.441691,385.30913,yeah,4,CG
384.921551,385.346042,(voc),4,CG
386.102745,387.357763,(voc),4,CG
388.206746,388.631238,yeah,4,CG
390.236923,398.948228,here is an old familiar toy. Do you remember this one from home? You have that toy at home. Oh! there it is ,4,CG
401.181422,402.233423,good job,4,CG
404.614267,406.090759,oh. Can you get it?,4,CG
408.785358,412.107466,Would you like to play with something different? Since you always have this one to play with?,4,CG
414.10073,414.96817,how bout this?,4,CG
417.090627,418.308733,oooohh,4,CG
422.756667,424.436177,it makes noises,4,CG
430.840462,440.935978,there is another one. Does it make noises? no it does not make noises. but it has got pretty colors. Purple with red polka dots ,4,CG
443.224542,443.482928,[kiss],4,CG
443.9997,455.184129,or maybe they're just dots. I do not know if they are called polka dots when they are so big. Here's another one. If you shake it it makes noise. Can you shake it?,4,CG
455.682446,456.291499,(voc),4,CG
460.333396,464.707505,It's a little big for your hands huh. Oh you got it though. Good job ,4,CG
465.335014,465.574944,(voc),4,CG
471.074878,471.333264,(other),4,CG
476.371794,479.343235,Does it taste good. Ooh. What was that? ,4,CG
485.562959,486.817978,what's making that noise?,4,CG
491.856508,492.760859,(other),4,CG
505.144939,505.901641,what do you think,4,CG
506.160027,508.153292,(voc),4,CG
507.175116,510.294206,uh oh. Did you like this one the best of all?,4,CG
511.217013,513.468664,(voc),4,CG
513.468664,515.757227,no you do not like it best of all?,4,CG
514.603072,514.844223,(voc),4,CG
519.881602,521.248125,would you like to stand up again?,4,CG
523.043361,539.937336,"standing is fun huh, standing is fun. Yeah standing is fun. You're getting to be such a big girl. You are going to be standing on your...bless you! Bless you! You are going to be standing on your own soon!",4,CG
541.946929,543.112492,did you want that? No,4,CG
542.415834,548.645571,(voc),4,CG
548.297241,550.668561,yeah. yeah,4,CG
551.499192,552.195851,(voc),4,CG
552.530783,554.607362,oh are you getting a little bit hungry?,4,CG
553.763333,563.422775,(voc),4,CG
557.903094,558.197834,oh!,4,CG
563.10124,566.142423,are you hungry or you just a little overstimulated,4,CG
565.660121,571.28698,(voc),4,CG
567.857276,569.250593,would you like to play with this?,4,CG
573.175997,575.426741,oh oh! Goodness,4,CG
573.497532,573.859259,(voc),4,CG
575.158795,578.642089,(voc),4,CG
579.727269,581.10719,(voc),4,CG
581.428724,582.822042,[imitates baby],4,CG
583.344536,584.590483,(voc),4,CG
585.849828,587.403913,[imitates baby],4,CG
594.477679,598.027959,oh! where did it go? Here it is,4,CG
615.082702,629.042671,"ooooww. oooohhw. Do you see this it is black with white circles. And then if you turn it over, it is white with black circles. Just the opposite",4,CG
630.878099,634.441777,that is pretty amazing. Pretty neat huh,4,CG
638.260003,644.248589,you do not have any toys like that at home. No. Do you see something that you want,4,CG
654.0554,658.972204,there is so many options to explore huh. Is that what you want though right now?,4,CG
660.110973,661.249742,(voc),4,CG
663.044978,666.78282,Can you take it off? Good job! You got it off,4,CG
681.600216,685.418442,okay. okay,4,CG
683.261479,683.462439,(other),4,CG
