onset,offset,transcript,sub,tier
10.697613,11.036835,(other),4,CG
12.623911,13.496196,Do you want to stand up?,4,CG
12.696601,12.902557,(other),4,CG
14.307906,15.022696,(other),4,CG
17.760703,23.079222,(voc),4,CG
24.218039,25.259936,Oh no!,4,CG
26.58048,26.907587,(voc),4,CG
27.876793,28.421971,(voc),4,CG
28.797539,29.585019,[imitates baby],4,CG
29.82732,31.269014,"Here, let me stand up and help you",4,CG
32.90455,33.934331,(voc),4,CG
34.830847,35.521407,Where are you going?,4,CG
44.462334,47.697059,You keep tipping over. What is up with that?,4,CG
49.4174,52.264443,Your pants look like they are ok. I wonder why you are tipping,4,CG
54.433042,55.814161,(voc),4,CG
61.92016,63.967608,What is that? [unintelligible] there,4,CG
70.400714,70.727821,(voc),4,CG
71.188194,72.932765,"[ba, ba]",4,CG
74.120043,74.568301,(voc),4,CG
74.774257,75.2104,[aba],4,CG
75.695003,75.900959,(voc),4,CG
77.391114,80.759105,Yay good throw! Should I throw it back to you? Ready?,4,CG
83.739414,84.575354,Can you throw it to me?,4,CG
85.859553,87.919116,"Yeah, good throw. Ready?",4,CG
91.311337,92.874182,Oh good throw!,4,CG
94.84894,95.733341,Are you done with it?,4,CG
100.543026,101.621268,Velcro,4,CG
103.281034,106.66114,[laughs] boom. You went boom,4,CG
107.339585,108.26033,[kisses],4,CG
109.205306,109.859521,[laughs],4,CG
112.83983,113.130591,(other),4,CG
117.019531,117.443559,(voc),4,CG
118.485456,119.18813,(voc),4,CG
120.133106,122.531891,Who is that baby? Hi baby,4,CG
124.712605,125.124518,(voc),4,CG
125.936228,126.808514,hi baby,4,CG
128.698466,132.017997,Is that Sadie? Is that Sadie?,4,CG
143.272904,143.587896,(voc),4,CG
144.763058,145.829185,(voc),4,CG
147.803943,149.124486,(voc),4,CG
156.611604,157.374854,(voc),4,CG
158.550016,160.73073,Can I switch hands? That will make it a little easier,4,CG
161.712051,166.1704,(voc),4,CG
167.454598,168.569185,Ooh that has a bell in it,4,CG
173.524252,174.287501,What is that?,4,CG
182.986127,183.216313,(other),4,CG
183.846297,184.512627,What did you find?,4,CG
186.778146,187.202174,(voc),4,CG
187.589856,187.759467,[imitates baby],4,CG
190.848812,191.151689,(voc),4,CG
191.430336,193.768546,What is it? Can I look?,4,CG
195.307161,196.494438,Look at the eyes,4,CG
198.784188,200.456068,[sound effects],4,CG
202.176409,203.290996,[laughs],4,CG
208.246063,211.250602,Did you want all the toys out on the floor before you play with anything?,4,CG
214.582248,214.836665,(other),4,CG
215.224348,216.702387,It is hard to reach huh?,4,CG
217.92601,218.531764,(voc),4,CG
218.774065,220.712478,"here, let us see if i can help you a little bit",4,CG
226.818476,229.895706,"Oh, almost got it. There you go, good job",4,CG
232.91236,233.130432,(voc) ,4,CG
234.608471,236.134971,Oh you are putting it back in the box?,4,CG
240.932541,241.199073,(voc),4,CG
245.269739,245.778572,(voc),4,CG
246.12991,248.6135,Is it a ball? Is it a ball?,4,CG
252.332829,252.599361,(voc),4,CG
265.829025,266.349974,(voc),4,CG
274.224774,274.685147,(voc),4,CG
280.585189,280.948642,(voc),4,CG
282.402451,283.06878,You want it back?,4,CG
283.517038,283.904721,(voc),4,CG
284.159137,286.12178,"No, are you ready for something new?",4,CG
287.708855,288.181343,(voc),4,CG
288.58114,290.289366,oh that looks like fun,4,CG
291.622025,292.833532,Would you like me to help you with that?,4,CG
294.166191,296.601321,[unintelligible] get this out on your own,4,CG
298.067246,301.192936,Here [baby name?] we can look at this. Ready?,4,CG
306.765871,311.805743,"Another piece. Look you can put this piece, it goes inside",4,CG
314.095493,314.410485,(voc),4,CG
314.228759,315.319116,You can put it in there,4,CG
317.620981,318.481151,Would you like to do that?,4,CG
331.638125,331.868311,(voc),4,CG
333.528077,333.794609,[ba],4,CG
337.865275,338.119691,(voc),4,CG
348.13886,348.478082,(voc),4,CG
349.871316,351.21609,(voc),4,CG
352.015685,353.299883,(voc),4,CG
354.777923,357.503815,Maybe you should put your other toy down before [unintelligible],4,CG
359.175696,360.484124,Or maybe you can do both,4,CG
362.798104,364.409409,With a little help from you,4,CG
367.716825,368.286234,(voc),4,CG
368.625456,369.23121,What is that?,4,CG
370.212531,370.382142,(voc),4,CG
370.939436,373.701673,[gasp] who is that? Is that big bird?,4,CG
375.967193,383.611806,"Big bird, and who is that? You do not know who any of these people are actually. Cookie monster",4,CG
386.907107,387.452286,(voc),4,CG
389.984337,391.123154,This is what you would like?,4,CG
393.994428,398.404316,"Yeah. Shake, shake, shake. Shake, shake, shake",4,CG
400.63349,400.996942,(voc),4,CG
409.513842,409.768258,(voc),4,CG
410.567853,411.100917,You can do it,4,CG
411.222067,411.718786,(voc),4,CG
412.070123,413.18471,Good job standing up,4,CG
412.324539,412.918178,(voc),4,CG
413.705658,413.935845,(voc),4,CG
414.965626,419.145328,"This one, I do not know if you will be able to reach it. Here I will give you a little help. Can you reach it now?",4,CG
422.331593,423.070613,Good job,4,CG
425.093831,429.455259,Does it make any noises? Ooh it has got something in it. But I do not know what,4,CG
429.891402,430.48504,(voc),4,CG
433.925722,434.822238,"Shake, shake, shake",4,CG
435.839904,440.758626,(voc),4,CG
446.06503,446.501172,(voc),4,CG
449.299755,451.250283,(voc),4,CG
